ItemCode,ItemName,PrimaryUnit,ExtraUnit,ExtraBarcode,ExtraPrice
"1001000051","TROPICANA SLIM SWEETENER LOW CALORIE 25PCS","PCS","CTN","2007000405505","234.6"
"1001000052","TROPICANA SLIM SWEETENER L\C 50PCS","PCS","CTN","2007000405512","465.75"
"1001000053","TROPICANA SLIM SWEETENER ZERO CALORIE 50PCS","PCS","CTN","2007000405529","618.700115"
"1001000075","STEVIANA SWEETNER 125GR","PCS","CTN","2009000448414","333.5"
"1001000077","TROPICANA SLIM SWEETNER LOW CALORIE 100PCS","PCS","CTN","2009000448858","382.375"
"1001000078","TROPICANA SLIM SWEETNER ZERO CALORIE 250GR","PCS","CTN","2009000448865","389.5625"
"1001000084","HONEYMOON S/FREE ORGANIC SYRUP 250G","PCS","CTN","2011011021418","350.6925"
"1001000085","TROPICANA SLIM DIET TABLETS 100 TAB","PCS","CTN","2011011030298","501.40000000000003"
"1001000086","TROPICANA SLIM DIET TABLETS 300 TAB","PCS","CTN","2011011030304","1483.5"
"1001000092","TROPICANA SLIM SUGAR FREE COOKIES VANILLA 20GM","PCS","OUT","749921060747","43.125"
"1001000093","TROPICANA SLIM SUGAR FREE CHOCOLATE COOKIES 20GM","PCS","CTN","749921060730","42.8375"
"1007000003","TROPICANA SLIM CAFE LATTE SUGAR FREE 10PCS","PCS","CTN","2007000405536","212.75"
"1007000004","TROPICANA SLIM CAPPUCCINO SUGAR FREE 8PCS","PCS","CTN","2007000405543","212.75"
"1007000005","TROPICANA SLIM MOCHA SUGAR FREE 8PCS","PCS","CTN","2007000405550","212.75"
"1007000007","TROPICANA SLIM CALIFORNIAN ORANGE SUGAR FREE 10PCS","PCS","CTN","2007000405574","213.61249999999998"
"1401000192","LIPTON GREEN TEA BAGS 25X2G","PCS","CTN","06281006703612","173.64942500000004"
"1401000192","LIPTON GREEN TEA BAGS 25X2G","PCS","CTN","06281006709850","173.64942500000004"
"1401000193","LIPTON GREEN TEA BAGS 100X2GR","PCS","CTN","06281006709935","437.575115"
"1401000202","AL WAZAH GREEN TEA BAGS 100BAG","PCS","CTN","2004000184881","409.97499999999997"
"1401000203","AL WAZAH TEA-BOP NAAM 454GR","PCS","CTN","2004000185093","1144.25"
"1401000204","AL WAZAH TEA FBOP KISHAN 500GR","PCS","CTN","2004000185109","635.0875"
"1401000205","AL WAZAH TEA BAGS 100BAG","PCS","CTN","2004000162131","552"
"1401000206","AL WAZAH TEA-GREEN (TIN) 225 GR","PCS","CTN","2004000185123","488.4625"
"1401000207","AL WAZAH TEA-FBOP KISHAN (TIN) 400 GR","PCS","CTN","2004000185130","881.9925000000001"
"1401000208","AL WAZAH TEA-FBOP KISHAN 2 KG","PCS","CTN","2004000185147","987.85"
"1401000209","AL WAZAH TEA-BOP NAAM 908 GR","PCS","CTN","2004000185161","1099.1125"
"1401000210","AL WAZAH TEA FBOP KISHAN 1 KG","PCS","CTN","2004000185178","1009.6425"
"1401000211","AL WAZAH TEA CARDAMOM FLAVOR 500 GR","PCS","CTN","2004000185185","787.175"
"1401000212","B.BOND RED LABEL POWDER 200GR","PCS","CTN","6281006856448","468.625"
"1401000213","B.BOND RED LABEL 400GR","PCS","OFFER","6281006854734","25.3"
"1401000213","B.BOND RED LABEL 400GR","PCS","CTN","6281006856462","646.875"
"1401000214","B.BOND TEA BAG 100BAG","PCS","CTN","06281006701823","778.4925000000001"
"1401000215","B.BOND RED LABEL POWDER 800GR","PCS","CTN","6281006856509","406.92750000000007"
"1401000216","B.BOND TEA BAGS 50BAG","PCS","CTN","06281006701854","80.5"
"1401000217","B.BOND RED LABEL 1600GR","PCS","CTN","06281006700727","552"
"1401000217","B.BOND RED LABEL 1600GR","PCS","CTN","6281006856547","552"
"1401000224","LEON TEA JAR 900 GR","PCS","CTN","2004000077022","484.09250000000003"
"1401000226","LEON TEA - (JAR) 225GR","PCS","CTN","2004000243250","280.600115"
"1401000229","LEON TEA - (JAR) 450 GR","PCS","CTN","2004000280613","258.75"
"1401000230","LEON TEA PACKET 450 GR","PCS","CTN","2011011028233","392.15000000000003"
"1401000231","LEON TEA -POWDER 900 GR","PCS","CTN","2004000304043","378.29249999999996"
"1401000232","LIPTON TEA 50BAG","PCS","CTN","06281006701946","182.275"
"1401000235","LIPTON TEA 25BAG","PCS","CTN","06281006701960","236.03750000000002"
"1401000237","LIPTON TEA 24X150BAG","PCS","CTN","06281006701922","782"
"1401000237","LIPTON TEA 24X150BAG","PCS","CTN","06281006705845","782"
"1401000238","LIPTON TEA 200BAG","PCS","CTN","06281006701915","565.8"
"1401000239","LIPTON TEA PACKET 200GR","PCS","CTN","06281006701717","814.2"
"1401000239","LIPTON TEA PACKET 200GR","PCS","CTN","6281006856363","814.2"
"1401000240","LIPTON TEA PACKET 400GR","PCS","OFFER","6281006853997","28.75"
"1401000240","LIPTON TEA PACKET 400GR","PCS","OFFER","8720608616688","28.75"
"1401000240","LIPTON TEA PACKET 400GR","PCS","CTN","6281006856387","760.725"
"1401000241","LIPTON TEA LO0SE 800GR","PCS","OFFER","5063305003386","32.2"
"1401000241","LIPTON TEA LO0SE 800GR","PCS","OFFER","5063305006264","32.2"
"1401000241","LIPTON TEA LO0SE 800GR","PCS","OFFER","6281006853973","32.2"
"1401000241","LIPTON TEA LO0SE 800GR","PCS","CTN","6281006856400","721.9125"
"1401000242","LIPTON TEA LOOSE 1600GR","PCS","CTN","06281006701748","474.375"
"1401000242","LIPTON TEA LOOSE 1600GR","PCS","CTN","06281006852037","474.375"
"1401000242","LIPTON TEA LOOSE 1600GR","PCS","CTN","6281006856424","474.375"
"1401000269","RABEA EXPRESS TEA 25BAG","PCS","CTN","2005000346057","151.8"
"1401000271","RABEA EXPRESS TEA 100+20 F","PCS","OFFER","6281013232136","18.3425"
"1401000271","RABEA EXPRESS TEA 100+20 F","PCS","CTN","2005000346071","440.45"
"1401000283","AHMAD ENGLISH BREAKFAST LOOSE TEA 500GM","PCS","CTN","2015011052441","995.9"
"1401000301","LIPTON GREEN TEA MINT 25BAG","PCS","CTN","06281006705968","437"
"1401000301","LIPTON GREEN TEA MINT 25BAG","PCS","CTN","06281006709881","437"
"1401000301","LIPTON GREEN TEA MINT 25BAG","PCS","CTN","2006000364461","437"
"1401000302","LIPTON GREEN TEA MINT 100BAG","PCS","CTN","2006000364478","309.0625"
"1401000315","SOCIETY TEA JAR 225 GR","PCS","CTN","2004000223603","586.5"
"1401000316","SOCIETY TEA JAR 450 GR","PCS","CTN","2004000155171","577.0125"
"1401000317","SOCIETY TEA JAR 900 GR","PCS","CTN","2004000223610","722.775"
"1401000318","SOCIETY TEA JAR 1.8 KG","PCS","CTN","2004000223627","506.00000000000006"
"1401000332","SAFA HIBISCUS TEA BAGS 25PCS","PCS","CTN","2004000166085","302.45"
"1401000337","SAFA LEMON TEA 25BAG","PCS","CTN","2004000166146","223.3875"
"1401000338","SAFA MINT TEA BAG 25BAG","PCS","CTN","2004000157595","265.65000000000003"
"1401000339","SAFA BABUNAGE 25BAG","PCS","CTN","2004000166160","289.8"
"1401000340","SAFA THYME TEA BAG ZAATAR 25GR","PCS","CTN","2004000218579","303.542615"
"1401000382","ALOKOZAY TEA BAGES 50BAG","PCS","CTN","2007000403839","289.225"
"1401000383","ALOKOZAY TEA BAGES 100BAG","PCS","CTN","2007000403846","444.36"
"1401000384","ALOKOZAY LOOSE TEA 210GR","PCS","CTN","2007000403853","511.75"
"1401000385","ALOKOZAY LOOSE TEA 420GR","PCS","CTN","2007000403860","493.35"
"1401000386","ALOKOZAY E/GRAY TEA 25BAG","PCS","CTN","2007000403877","370.875"
"1401000388","ALOKOZAY GREEN TEA 225GR","PCS","CTN","2007000403891","370.3"
"1401000395","MAHAMOOD TEA 100BAG","PCS","CTN","2008000420468","205.85"
"1401000396","MAHAMOOD TEA EARLY GRAY 100BAG","PCS","CTN","2008000420475","204.70000000000002"
"1401000397","MAHAMOOD TEA C\MOM 100BAG","PCS","CTN","2008000420482","205.85"
"1401000398","MAHAMOOD BLACK TEA 500GR","PCS","CTN","2008000420499","495.41919499999995"
"1401000399","MAHAMOOD TEA EARLY GRAY 500GR","PCS","CTN","2008000420505","510.59988500000003"
"1401000400","MAHAMOOD TEA CARDAMOM 500GR","PCS","CTN","2008000420512","527.848965"
"1401000401","MAHAMOOD GREEN TEA 25BAG","PCS","CTN","2008000420529","156.4"
"1401000404","ALOKOZAY TEA 200BAG","PCS","CTN","2008000426736","327.75"
"1401000405","ALOKOZAY TEA 850GR","PCS","CTN","2008000426743","577.5875"
"1401000407","ALOKOZAY GREEN TEA 25BAG","PCS","CTN","2008000426767","370.875"
"1401000408","LIPTON LATTE CARAMEL 16X7X25.8GR","PCS","OUT","6281006850231","23.2875"
"1401000408","LIPTON LATTE CARAMEL 16X7X25.8GR","PCS","OUT","8901030083372","23.2875"
"1401000423","YELLOW LIPTON LABLE TEA 400GM","PCS","OFFER","5063305006981","43.4125"
"1401000423","YELLOW LIPTON LABLE TEA 400GM","PCS","CTN","2009000441798","348.45"
"1401000426","LIPTON CAMOMILE TEA 20BAG","PCS","CTN","2009000441828","184.000115"
"1401000427","LIPTON HIBISCUS TEA 20BAG","PCS","CTN","2009000441835","291.8125"
"1401000431","LIPTON ROSEHIP PEACH 20X2.35G","PCS","CTN","2009000008403","164.45"
"1401000444","RABEA TEA LONG LEAF 200GR","PCS","CTN","2010198007451","259.61249999999995"
"1401000445","RABEA GREAN TEA MINT 25BAG","PCS","CTN","2010198007468","153.812615"
"1401000446","RABEA GREAN TEA 100BAG","PCS","CTN","2010198007475","246.09942500000002"
"1401000451","RED LEAF TEA POWDER 225GM","PCS","CTN","2010198009103","308.20000000000005"
"1401000452","RED LEAF TEA POWDER 450GM","PCS","CTN","2010198009110","301.875"
"1401000454","LIPTON LEMON MINT TEA 15X2.1G","PCS","CTN","2010198010826","165.6"
"1401000455","LIPTON LEMON GINGER TEA 15X2.1G","PCS","CTN","2010198010833","166.75"
"1401000457","LIPTON PEACH MANGO TEA 15X1.8G","PCS","CTN","2010198010857","166.75"
"1401000459","LIPTON FOREST FRUIT TEA 15X1.7G","PCS","CTN","2010198010871","166.75"
"1401000466","LIPTON C/L CHOCOLATE 26.2G","PCS","OUT","8901030083402","14.374080000000001"
"1401000467","LIPTON LATTE CLASSIC 25.7G","PCS","OUT","6281006854840","23.2875"
"1401000467","LIPTON LATTE CLASSIC 25.7G","PCS","OUT","8901030083341","23.2875"
"1401000470","LIPTON GREEN TEA APPLE 25BAG","PCS","CTN","2011011025089","185.72442500000002"
"1401000471","LIPTON GREEN TEA BAG APPLE 100BAG","PCS","CTN","2011011025096","304.75011499999994"
"1401000498","ALOKOZAY GREEN TEA 100BAG","PCS","CTN","2013011044923","891.25"
"1401000499","ALOKOZAY MINT TEA 25BAG","PCS","CTN","2013011044930","370.875"
"1401000500","ALOKOZAY LEMON TEA 25BAG","PCS","CTN","2013011044947","370.875"
"1401000501","ALOKOZAY CARDAMOM TEA 25BAG","PCS","CTN","2013011044954","370.875"
"1401000502","ALOKOZAY MOROCCAN TEA 25BAG","PCS","CTN","2013011044961","370.875"
"1401000548","AHMAD ENGLISH B/F TANGLESS TEA 100 BAG","PCS","CTN","2015011052427","195.61499999999998"
"1401000549","AHMAD ENGLISH BREAKFAST TEA 25 BAG","PCS","CTN","2015011052434","315.675"
"1401000550","AHMAD CARDAMON TEA 100 BAG","PCS","CTN","2015011052458","355.6375"
"1401000551","AHMAD EARL GREY TEA 25 BAG","PCS","CTN","2015011052465","144.9"
"1401000552","AHMAD ENGLISH NO.1 TEA 50 BAG","PCS","CTN","2015011052472","207"
"1401000553","AHMAD ENGLISH NO.1 TEA 100 BAG","PCS","CTN","2015011052489","195.61499999999998"
"1401000554","AHMAD ENGLISH NO.1 TEA 100 BAG.","PCS","CTN","2015011052496","334.65000000000003"
"1401000555","AHMAD PURE GREEN TEA 20 BAG","PCS","CTN","2015011052519","142.3125"
"1401000556","AHMAD MYSTIQUE MINT TEA 20 BAG","PCS","CTN","2015011052502","142.3125"
"1401000575","AHMAD CARDAMON TEA STD11 500G","PCS","OFFER","6290360272740","41.1125"
"1404000056","DAVIDOFF COFFEE FINE 250GR","PCS","CTN","2004000195894","396.75"
